id,full_text,source
1170698295255040002,thank you 💕 https://t.co/Z4JnKipJty,Twitter for iPhone
1170698163927171073,RT @ErickBobadill17: Come on guys 🙏🏼 #TheRealityTvStar @KylieJenner I love you 💕 https://t.co/C0XaxzULiw,Twitter for iPhone
1170523724723806210,my high gloss flash sale ends in 30 minutes! 25% off my high gloss set at https://t.co/bDaiohhXCV,Twitter for iPhone
1170351744221511680,12 hour flash sale!!! 💞 https://t.co/lOw4rpyOQb https://t.co/PTql7jl6eN,Twitter for iPhone
1170033605545824256,"RT @sheenamcrae: @KylieJenner @kylieskin: I'll admit, I wasn't always consistent with my skincare. But, with KylieSkin, I have been more co…",Twitter for iPhone
1170012531835883521,restock alert!! I'm restocking my entire @kylieskin line on September 12 at 9am PST on https://t.co/n1uvmPB0xY https://t.co/EPRdoLfINu,Twitter Web App
1169961335905349633,"RT @KrisJenner: RT to vote for #KUWTK to win the E! @peopleschoice award for #TheRealityShow! Thank you guys so so much!

https://t.co/j3pm…",Twitter for iPhone
1169370842154668032,💕 @kylieskin is coming to all @ultabeauty stores this fall! Stay tuned for details... hmmm... which store should I visit to celebrate the launch? https://t.co/voF30QNZMB,Twitter Web App
1169310345057325058,my September Favorites bundle is here! 💗 my amazing Face Primer and Setting Spray for only $45 (a $52 value) ✨ https://t.co/YCI7cT7z9L https://t.co/6b77FBCASL,Twitter Web App
1168582688892080128,my #LaborDay sale ends in one hour!! don’t miss out https://t.co/bDaiohhXCV,Twitter for iPhone
1168537305201512449,last few hours to shop my buy one get one free sale!! https://t.co/bDaiohhXCV #LaborDay #LaborDaySale https://t.co/j8GclVMUm7,Twitter for iPhone
1168199665633808384,"Buy one, get one FREE lip kits sale happening NOW at https://t.co/bDaiohhXCV 😍 #LaborDay #LaborDaySale https://t.co/5n7joL6llh",Twitter for iPhone
1167629119976173568,RT @kwrigh: New customer here! 👋 Just ordered Bare and Kylie lip kits by @kyliecosmetics can’t wait to receive @KylieJenner 😘,Twitter Web App
1167629090125303808,buy one lip kit get one FREE! Labor Day sale on now at https://t.co/bDaiohhXCV https://t.co/HporBozGqo,Twitter Web App
1167514772062949376,my buy one get one FREE lip kit sale starts NOW at https://t.co/bDaiohhXCV 😘  #LaborDaySale 💕 https://t.co/3mgkjDEQMI,Twitter for iPhone
1167484337400320000,My buy one get one FREE Lip Kit sale starts in 2 hours!!! 12pm pst https://t.co/bDaiohhXCV #LaborDaySale #LaborDay https://t.co/oz6UkTPm0d,Twitter Web App
1167175579222691840,RT @Sandraalizz: Wow! I really hope @KylieJenner is there Friday 😭 https://t.co/8AnTrknTNt,Twitter for iPhone
1167106253258027008,you guys ready for my #LaborDay sale? 😝 It’s BUY ONE GET ONE FREE on Lip Kits starting Friday at 12pm pst only on https://t.co/bDaiohhXCV! What shades will you be getting? https://t.co/u9A4oi5i7d,Twitter Web App
1166774302613491712,"RT @homegirlgizel: Travis Scott’s #LookMomICanFly documentary was INSANEEE, best movie I’ve ever watched, I was literally entertained for t…",Twitter for iPhone
1166773858088521728,#LookMomICanFly documentary out now on Netflix ♥️♥️‼️‼️,Twitter for iPhone
1166767088108617733,RT @sariixo_: i cried actual tears watching the #LookMomICanFly documentary at 3 am😭 @KylieJenner @trvisXX,Twitter for iPhone
1166766856285241344,"RT @JustCJDunkin7: This documentary has changed how I view Travis in a dramatic way. I’ve always liked his music, just never knew how he wa…",Twitter for iPhone
1166766704371699712,RT @OVOVanessa: GETTING GOOSEBUMPS WATCHING #LookMomICanFly 😭💫,Twitter for iPhone
1166766688420818945,RT @MatthewGee6: That @trvisXX #LookMomICanFly is a must watch!,Twitter for iPhone
1166766677977026561,RT @robgonzalez_: @trvisXX documentary gave me goosebumps! #LookMomICanFly,Twitter for iPhone
1166766296274391040,RT @AndrewNieves1: I watch maybe 2 minutes of @trvisXX  documentary and it’s already the greatest documentary of all time #LookMomICanFly #…,Twitter for iPhone
