id,full_text,source
1175324899730046977,Hello! my name is Gin and I love playing Dota2,Personality Prediction using SVM
1165969123949436928,Don't give up https://t.co/6t65foTrPN,Twitter for Android
1165968947746725889,"RT @w33haa: Thankful for everything, love dota❤️",Twitter for Android
1141695529782407168,"RT @VLADOPARD: AK-47 | Neon Rider GIVEAWAY
-RT &amp; Follow 
-Tag 3 friends &lt;3
Enter here: https://t.co/5kKvnfvcHd https://t.co/d04zRXDYWw",Twitter Web Client
1141075035890712577,@s1mpleO wow!,Twitter Web Client
